city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Delhi,28.6100,77.2300,India,IN,Delhi,admin,32226000,16753235
Mumbai,19.0761,72.8775,India,IN,Mahārāshtra,admin,24973000,12478447
Kolkāta,22.5675,88.3700,India,IN,West Bengal,admin,18502000,4496694
Bangalore,12.9789,77.5917,India,IN,Karnātaka,admin,15386000,8443675
Chennai,13.0825,80.2750,India,IN,Tamil Nādu,admin,12395000,6727000
Hyderābād,17.3617,78.4747,India,IN,Telangāna,admin,10494000,6993262
Pune,18.5203,73.8567,India,IN,Mahārāshtra,,8231000,3124458
Ahmedabad,23.0225,72.5714,India,IN,Gujarāt,minor,8009000,5570585
Sūrat,21.1702,72.8311,India,IN,Gujarāt,,6538000,4466826
Lucknow,26.8500,80.9500,India,IN,Uttar Pradesh,admin,3382000,3382000
Jaipur,26.9000,75.8000,India,IN,Rājasthān,admin,3073350,3073350
Kanpur,26.4499,80.3319,India,IN,Uttar Pradesh,,2701324,2701324
Mirzāpur,25.1460,82.5690,India,IN,Uttar Pradesh,,2496970,2496970
Nāgpur,21.1497,79.0806,India,IN,Mahārāshtra,,2405665,2405665
Ghāziābād,28.6700,77.4200,India,IN,Uttar Pradesh,,2375820,2375820
Supaul,26.1260,86.6050,India,IN,Bihār,,2229076,2229076
Vadodara,22.3000,73.2000,India,IN,Gujarāt,,2065771,2065771
Rājkot,22.3000,70.7833,India,IN,Gujarāt,,2043000,2043000
Vishākhapatnam,17.7042,83.2978,India,IN,Andhra Pradesh,,2035922,2035922
Indore,22.7167,75.8472,India,IN,Madhya Pradesh,,1994397,1994397
Thāne,19.1972,72.9722,India,IN,Mahārāshtra,,1886941,1886941
Bhopāl,23.2599,77.4126,India,IN,Madhya Pradesh,admin,1798218,1798218
Pimpri-Chinchwad,18.6186,73.8037,India,IN,Mahārāshtra,,1727692,1727692
Patna,25.5940,85.1376,India,IN,Bihār,admin,1684222,1684222
Bilāspur,22.0900,82.1500,India,IN,Chhattīsgarh,,1625502,1625502
Ludhiāna,30.9100,75.8500,India,IN,Punjab,,1618879,1618879
